ts_code,trade_date,close,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv,circ_mv
000001.SZ,20260326,10.94,4.9797,4.9797,0.4705,1.6152,1.6152,5.4663,5.4663,21230074.5086,21229727.1144
000001.SZ,20260325,10.94,4.9797,4.9797,0.4705,1.6152,1.6152,5.4663,5.4663,21230074.5086,21229727.1144
000001.SZ,20260324,10.88,4.9524,4.9524,0.4679,1.6063,1.6063,5.4964,5.4964,21113638.9994,21113293.5105
000001.SZ,20260323,10.45,4.7567,4.7567,0.4494,1.5428,1.5428,5.7226,5.7226,20279184.5169,20278852.6824
000001.SZ,20260320,10.77,4.6958,4.8472,0.4714,1.4247,1.5393,5.5526,5.5526,20900173.8992,20899831.9033
000001.SZ,20260319,10.88,4.7438,4.8967,0.4762,1.4393,1.555,5.4964,5.4964,21113638.9994,21113293.5105
000001.SZ,20260318,10.96,4.7787,4.9327,0.4797,1.4499,1.5664,5.4563,5.4563,21268886.345,21268538.3157
000001.SZ,20260317,11.03,4.8092,4.9642,0.4827,1.4591,1.5764,5.4217,5.4217,21404727.7724,21404377.5203
000001.SZ,20260316,10.92,4.7612,4.9147,0.4779,1.4446,1.5607,5.4763,5.4763,21191262.6722,21190915.9131
000001.SZ,20260313,10.93,4.7656,4.9192,0.4784,1.4459,1.5621,5.4713,5.4713,21210668.5904,21210321.5137
000001.SZ,20260312,10.94,4.7699,4.9237,0.4788,1.4472,1.5636,5.4663,5.4663,21230074.5086,21229727.1144
000001.SZ,20260311,10.89,4.7481,4.9012,0.4766,1.4406,1.5564,5.4914,5.4914,21133044.9176,21132699.1111
000001.SZ,20260310,10.81,4.7133,4.8652,0.4731,1.43,1.545,5.532,5.532,20977797.572,20977454.3059
000001.SZ,20260309,10.76,4.6915,4.8427,0.4709,1.4234,1.5378,5.5577,5.5577,20880767.981,20880426.3026
000001.SZ,20260306,10.82,4.7176,4.8697,0.4736,1.4314,1.5464,5.5269,5.5269,20997203.4902,20996859.9065
000001.SZ,20260305,10.81,4.7133,4.8652,0.4731,1.43,1.545,5.532,5.532,20977797.572,20977454.3059
000001.SZ,20260304,10.71,4.6697,4.8202,0.4687,1.4168,1.5307,5.5837,5.5837,20783738.3901,20783398.2994
000001.SZ,20260303,10.88,4.7438,4.8967,0.4762,1.4393,1.555,5.4964,5.4964,21113638.9994,21113293.5105
000001.SZ,20260302,10.85,4.7307,4.8832,0.4749,1.4353,1.5507,5.5116,5.5116,21055421.2448,21055076.7085
000001.SZ,20260227,10.9,4.7525,4.9057,0.4771,1.4419,1.5578,5.4864,5.4864,21152450.8358,21152104.7118
000001.SZ,20260226,10.87,4.7394,4.8922,0.4757,1.438,1.5535,5.5015,5.5015,21094233.0812,21093887.9098
000001.SZ,20260225,10.86,4.7351,4.8877,0.4753,1.4366,1.5521,5.5066,5.5066,21074827.163,21074482.3092
000001.SZ,20260224,10.91,4.7569,4.9102,0.4775,1.4433,1.5593,5.4813,5.4813,21171856.754,21171510.3124
